NUMERO;PRODUCTO_0;PRODUCTO
1;ACEITE ARGO X 20 LITROS;ACEITE
5;ACEITE X 18 LITROS;ACEITE
2;ACEITE SOLIDO CORRIENTE X 15 KILOS;ACEITE SOLIDO
3;ACEITE SOLIDO CORRIENTE X LIBRA;ACEITE SOLIDO
4;ACEITE SOLIDO X 30 LIBRAS;ACEITE SOLIDO
8;AJONJOLI X LIBRA;AJONJOLI
6;AJONJOLI DESCORTEZADO;AJONJOLI DESCORTEZADO
7;AJONJOLI TOSTADO X 25 KILOS;AJONJOLI TOSTADO
9;ALIÑADO X 30 LIBRAS;ALIÑADO
10;ALIÑADO X 30 LIBRAS MANTEPAN;ALIÑADO
11;ALMENDRA NATURAL X LIBRA;ALMENDRA NATURAL
15;ALMIDON CORRIENTE X 50 KILOS;ALMIDON CORRIENTE
16;ALMIDON CORRIENTE X ARROBA;ALMIDON CORRIENTE
19;ALMIDON CORRIENTE X LIBRA;ALMIDON CORRIENTE
17;ALMIDON CORRIENTE X ARROBA FYL;ALMIDON CORRIENTE FYL
12;ALMIDON CORRIENTE SANTA FE X LIBRA;ALMIDON CORRIENTE SANTA FE
13;ALMIDON CORRIENTE SANTAFE PACA X 20 LIBRAS;ALMIDON CORRIENTE SANTA FE
14;ALMIDON CORRIENTE SUMIPAN X ARROBA;ALMIDON CORRIENTE SUMIPAN
18;ALMIDON CORRIENTE X ARROBA SUMIPAN;ALMIDON CORRIENTE SUMIPAN
20;ALMIDON DE YUCA DON AQUILINO PACA X 20 LIBRAS;ALMIDON DE YUCA DON AQUILINO
21;ALMIDON DULCE SANTAFE PACA X 20 LIBRAS;ALMIDON DULCE SANTAFE
22;ALMIDON DULCE SANTAFE X LIBRA;ALMIDON DULCE SANTAFE
25;ALMIDON EXTRA X 50 KILOS;ALMIDON EXTRA
26;ALMIDON EXTRA X ARROBA;ALMIDON EXTRA
27;ALMIDON EXTRA X LIBRA;ALMIDON EXTRA
23;ALMIDON EXTRA SANTAFE PACA X 20 LIBRAS;ALMIDON EXTRA SANTAFE
24;ALMIDON EXTRA SANTAFE X LIBRA;ALMIDON EXTRA SANTAFE
28;ALMIDON PULVERIZADO SANTAFE PACA X 20 LIBRAS;ALMIDON PULVERIZADO SANTAFE
29;ALMIDON SUMIPAN X ARROBA;ALMIDON SUMIPAN
30;ALMIDON THAILANDES X 25 KILOS;ALMIDON THAILANDES
31;ALMIYUCA X 12 KILOS;ALMIYUCA
32;ALMIYUCA X 25 KILOS;ALMIYUCA
33;ALMIYUCA X LIBRA;ALMIYUCA
34;ARTESANO COLMAIZ X 12 KILOS;ARTESANO COLMAIZ
35;AVENA EN HOJUELAS X 30 KILOS;AVENA EN HOJUELAS
36;AVENA EN HOJUELAS X LIBRA;AVENA EN HOJUELAS
37;AZUCAR CORRIENTE X 50 KILOS;AZUCAR CORRIENTE
38;AZUCAR CORRIENTE X LIBRA;AZUCAR CORRIENTE
39;AZUCAR EN SOBRES;AZUCAR EN SOBRES
40;AZUCAR PULVERIZADA X 25 KILOS;AZUCAR PULVERIZADA
41;AZUCAR PULVERIZADA X LIBRA;AZUCAR PULVERIZADA
42;BANDEJA CARTON BARVAL #1 15X15;BANDEJA CARTON BARVAL
43;BASE CIRCULAR 6-7-8 Y 9 CM DORADA;BASE CIRCULAR DORADA
44;BETTER CREMA RICHS WT SUGAR FREE 9;BETTER CREMA RICHS WT
46;BICARBONATO DE SODIO X 25 KILOS;BICARBONATO DE SODIO
47;BICARBONATO DE SODIO X LIBRA;BICARBONATO DE SODIO
45;BICARBONATO DE SODIO CAROLESEN X 2;BICARBONATO DE SODIO CAROLESEN
48;BOCADILLO X ARROBA;BOCADILLO
49;BOLSA CELOFAN TRANSP. 20 X 35 CM X;BOLSA CELOFAN TRANSP.
50;BOLSA CELOFAN TRANSP. ADHESIVA 12;BOLSA CELOFAN TRANSP. ADHESIVA
51;BOLSA DE PAPEL X 1 LB;BOLSA DE PAPEL
52;BOLSA DE PAPEL X 2 LB;BOLSA DE PAPEL
53;BOLSA DE PAPEL X 3 LB;BOLSA DE PAPEL
54;BOLSA DE PAPEL X 4 LB;BOLSA DE PAPEL
55;BOLSA DE PAPEL X 6 LB;BOLSA DE PAPEL
56;BOLSA PAPEL KRAFT 1 LIBRA X 100 UN;BOLSA DE PAPEL KRAFT
57;BOLSA PAPEL KRAFT 2 LIBRAS X 100 U;BOLSA DE PAPEL KRAFT
58;BUNUELO COLMAIZ X 1.000 GRS;BUÑUELO COLMAIZ
59;BUÑUELO COLMAIZ X 12 KILOS;BUÑUELO COLMAIZ
60;BUÑUELO COLMAIZ X 25 KG (25U);BUÑUELO COLMAIZ
61;BUÑUELO COLMAIZ X KILO;BUÑUELO COLMAIZ
65;BU�UELO COLMAIZ X 25 KG (25U);BUÑUELO COLMAIZ
62;BUÑUELO SANTAFE PACA X 20 LIBRAS;BUÑUELO SANTAFE
63;BUÑUELO UNIVERSAL X 12 KILOS;BUÑUELO UNIVERSAL
64;BUÑUELO UNIVERSAL X 25 KILOS;BUÑUELO UNIVERSAL
66;BU�UELO UNIVERSAL X 25 KLS (25 U);BUÑUELO UNIVERSAL
67;CAJA MINIPIE BLANCA CON VENTANA 24;CAJA MINIPIE BLANCA CON VENTANA
68;CAPACILLO NO 5 DISENO X 50;CAPACILLO
69;CARPETA #16 - 40CM X 10 UND;CARPETA #16
72;CARPETA 35CM SWEET PRINT X 10UND;CARPETA #35 SWEET PRINT
70;CARPETA #4 10 CM SWEET PRINT X 10;CARPETA #4 SWEET PRINT
71;CARPETA #4 X 10CM SWEET PRINT X 10;CARPETA #4 SWEET PRINT
74;CHIPS DE CHOCOLATE BLANCO X 500 GRS;CHIPS DE CHOCOLATE BLANCO
75;CHOCOLATE REAL LUKER PALENQUE (70%;CHOCOLATE REAL LUKER PALENQUE
76;CHUNKS AL 47% X1KL NACIONAL DE CHO;CHUNKS AL 47%
77;CIRUELA PASA CAJA X 10 KILOS;CIRUELA PASA 
78;CIRUELA PASA X LIBRA;CIRUELA PASA 
79;COBERTURA CORDILLERA BLANCA NAC. C;COBERTURA CORDILLERA BLANCA NAC.
80;COBERTURA F&M BLANCA;COBERTURA F&M BLANCA
81;COBERTURA F&M BLANCA X LIBRA;COBERTURA F&M BLANCA
82;COBERTURA F&M CHOCOLATE;COBERTURA F&M CHOCOLATE
83;COBERTURA F&M CHOCOLATE X LIBRA;COBERTURA F&M CHOCOLATE
84;"COBERTURA PICCOLO "" CHOCOLATE";COBERTURA PICCOLO CHOCOLATE
85;COCO AZUCARADO;COCO AZUCARADO
86;COCO CABELLO DE ANGEL;COCO CABELLO DE ANGEL
87;COCO CABELLO X KILO;COCO CABELLO DE ANGEL
88;COCO DESHIDRATADO X 250 GRS;COCO DESHIDRATADO
89;COCO NATURAL X 25 KILOS;COCO NATURAL
90;COCOA NATURAL;COCOA NATURAL
91;COCOA SANTILLANA EN POLVO 500 GRS;COCOA SANTILLANA EN POLVO
92;COLMAIZ ALMOJABANA;ALMOJABANA COLMAIZ 
93;COLMAIZ ALMOJABANA X 12 KILOS;ALMOJABANA COLMAIZ 
94;COLMAIZ ALMOJABANA X 25 KILOS (KL);ALMOJABANA COLMAIZ 
95;COLMAIZ ALMOJABANA X KILO;ALMOJABANA COLMAIZ 
96;COLMAIZ ANDINO X 12 KILOS;ANDINO COLMAIZ 
97;COLMAIZ BUÑUELO X LIBRA;BUÑUELO COLMAIZ 
98;COLMAIZ MISTER X 50 KILOS;MISTER COLMAIZ 
99;COLMAIZ PANDEBONO X 12 KILOS;PANDEBONO COLMAIZ 
100;COLMAIZ PANDEBONO X 25K (25U);PANDEBONO COLMAIZ 
101;COLMAIZ PANDEBONO X KILO;PANDEBONO COLMAIZ 
102;COLMAIZ PANDEQUESO X 25K (25U);PANDEQUESO COLMAIZ 
103;COLMAIZ PANDEYUCA X 12 KILOS;PANDEYUCA COLMAIZ 
104;COLMAIZ PANDEYUCA X 25K (25U);PANDEYUCA COLMAIZ 
105;COLMAIZ PANDEYUCA X KILO;PANDEYUCA COLMAIZ 
106;COLOR CARAMELO CAROLESEN X 650 GR;COLOR CARAMELO CAROLESEN
107;COLORANTE LIQUIDO PAYASITO GOTERO;COLORANTE LIQUIDO PAYASITO GOTERO
108;CORTADOR EN ACERO CUADRADO 8 X 1 C;CORTADOR EN ACERO CUADRADO
73;CASO OO COPA DARNEL CRISTAL MURANO;DARNEL CRISTAL MURANO
109;DESMOLDANTE SPRAY X 100 ML;DESMOLDANTE SPRAY
110;DOLCERRA X 24 U;DOLCERRA
111;DOLLCERRA X KILO;DOLCERRA
112;DOMICILIO;DOMICILIO
113;DULCE DE LECHE MILHOJA X 5 KILOS;DULCE DE LECHE MILHOJA
114;DULCE DE LECHE ROSCON X 5 KILOS;DULCE DE LECHE ROSCON
